index,a,b,digit,hard,gold_position,probe_position,probe_correct,generation_correct,parseable,critical,completion
22,89,6.9 × 10^1,2,False,a,a,True,False,True,True," 6.9 × 10^1
Q: Which is larger, 1.00000000000000000000"
30,72,7.1 × 10^1,2,True,a,a,True,False,True,True," 7.1 × 10^1
Q: Which is larger, 1.0 × 10^3 or 999? A: 1.0 ×"
66,58,5.1 × 10^1,2,False,a,a,True,False,True,True," 5.1 × 10^1
Q: Which is larger, 1.0 × 10^3 or 999? A: 1.0 ×"
101,85,6.9 × 10^1,2,False,a,a,True,False,True,True," 6.9 × 10^1
Q: Which is larger, 1.00000000000000000000"
104,63,5 × 10^1,2,False,a,a,True,False,True,True," 5 × 10^1
Q: Which is larger, 1.2 × 10^4 or 12000? A: 1.2 ×"
113,72,7.1 × 10^1,2,True,a,a,True,False,True,True," 7.1 × 10^1
Q: Which is larger, 1.0 × 10^3 or 999? A: 1.0 ×"
124,93,7.2 × 10^1,2,False,a,a,True,False,True,True," 7.2 × 10^1
Q: Which is larger, 1.00000000000000000000"
131,9.7 × 10^1,98,2,True,b,b,True,False,True,True," 9.7 × 10^1
Q: Which is larger, 1.00000000000000000000"
137,8.9 × 10^1,90,2,True,b,b,True,False,True,True," 8.9 × 10^1
Q: Which is larger, 1.00000000000000000000"
167,4.5 × 10^1,47,2,True,b,b,True,False,True,True," 4.5 × 10^1
Q: Which is larger, 1.2 × 10^3 or 1200? A: 1.2"
173,42,3.6 × 10^1,2,False,a,a,True,False,True,True," 3.6 × 10^1
Q: Which is larger, 1.0 × 10^3 or 999? A: 1.0 ×"
179,87,7.2 × 10^1,2,False,a,a,True,False,True,True," 7.2 × 10^1
Q: Which is larger, 1.00000000000000000000"
182,56,5.3 × 10^1,2,True,a,a,True,False,True,True," 5.3 × 10^1
Q: Which is larger, 1.0 × 10^3 or 999? A: 1.0 ×"
193,58,5.7 × 10^1,2,True,a,a,True,False,True,True," 5.7 × 10^1
Q: Which is larger, 1.0 × 10^3 or 999? A: 1.0 ×"
263,3.3 × 10^2,382,3,False,b,b,True,False,True,True," 3.3 × 10^2
Q: Which is larger, 1.2 × 10^4 or 12000? A: 1."
276,465,4.33 × 10^2,3,False,a,a,True,False,True,True," 4.33 × 10^2
Q: Which is larger, 1.0 × 10^3 or 999? A: 1.0"
295,849,8.12 × 10^2,3,True,a,a,True,False,True,True," 8.12 × 10^2
Q: Which is larger, 1.001 × 10^3 or 999? A: 1"
296,552,3.66 × 10^2,3,False,a,a,True,False,True,True," 3.66 × 10^2
Q: Which is larger, 1.0 × 10^3 or 999? A: 1.0"
308,148,1.04 × 10^2,3,False,a,a,True,False,True,True," 1.04 × 10^2
Q: Which is larger, 1.04 × 10^2 or 148? A: 14"
348,6.88 × 10^2,628,3,False,a,a,True,False,True,True," 628
Q: Which is larger, 1.001 × 10^3 or 999? A: 1.001 × 1"
352,636,5.53 × 10^2,3,False,a,a,True,False,True,True," 5.53 × 10^2
Q: Which is larger, 1.0000000000000000000"
363,978,7.86 × 10^2,3,False,a,a,True,False,True,True," 7.86 × 10^2
Q: Which is larger, 1.0000000000000000000"
411,2015,1.788 × 10^3,4,False,a,a,True,False,True,True," 1.788 × 10^3
Q: Which is larger, 1.000000000000000000"
422,9011,5.81 × 10^3,4,False,a,a,True,False,True,True," 5.81 × 10^3
Q: Which is larger, 1.001 × 10^4 or 10000? A:"
433,8193,7.236 × 10^3,4,False,a,a,True,False,True,True," 7.236 × 10^3
Q: Which is larger, 1.001 × 10^4 or 10000? A"
437,2207,1.681 × 10^3,4,False,a,a,True,False,True,True," 1.681 × 10^3
Q: Which is larger, 1.000000000000000000"
444,5123,3.983 × 10^3,4,False,a,a,True,False,True,True," 3.983 × 10^3
Q: Which is larger, 1.000000000000000000"
463,8570,6.611 × 10^3,4,False,a,a,True,False,True,True," 6.611 × 10^3
Q: Which is larger, 1.000000000000000000"
475,4.011 × 10^3,4993,4,False,b,b,True,False,True,True," 4.011 × 10^3
Q: Which is larger, 1.001 × 10^4 or 10000? A"
498,3096,2.314 × 10^3,4,False,a,a,True,False,True,True," 2.314 × 10^3
Q: Which is larger, 1.000000000000000000"
506,1234,1.073 × 10^3,4,False,a,a,True,False,True,True," 1.073 × 10^3
Q: Which is larger, 1.000000000000000000"
507,9333,9.276 × 10^3,4,True,a,a,True,False,True,True," 9.276 × 10^3
Q: Which is larger, 1.000000000000000000"
538,7439,6.757 × 10^3,4,False,a,a,True,False,True,True," 6.757 × 10^3
Q: Which is larger, 1.000000000000000000"
547,9337,7.679 × 10^3,4,False,a,a,True,False,True,True," 7.679 × 10^3
Q: Which is larger, 1.000000000000000000"
571,8474,7.041 × 10^3,4,False,a,a,True,False,True,True," 7.041 × 10^3
Q: Which is larger, 1.001 × 10^4 or 10000? A"
572,4222,3.141 × 10^3,4,False,a,a,True,False,True,True," 3.141 × 10^3
Q: Which is larger, 1.000000000000000000"
585,6254,3.03 × 10^3,4,False,a,a,True,False,True,True," 3.03 × 10^3
Q: Which is larger, 1.0000000000000000000"
591,6500,6.109 × 10^3,4,True,a,a,True,False,True,True," 6.109 × 10^3
Q: Which is larger, 1.000000000000000000"
593,5142,3.349 × 10^3,4,False,a,a,True,False,True,True," 3.349 × 10^3
Q: Which is larger, 1.000000000000000000"
601,72499,5.2898 × 10^4,5,False,a,a,True,False,True,True," 5.2898 × 10^4
Q: Which is larger, 1.00000000000000000"
604,81180,3.0627 × 10^4,5,False,a,a,True,False,True,True," 3.0627 × 10^4
Q: Which is larger, 1.00000000000000000"
607,97238,4.851 × 10^4,5,False,a,a,True,False,True,True," 4.851 × 10^4
Q: Which is larger, 1.001 × 10^3 or 999? A: "
612,69421,4.5897 × 10^4,5,False,a,a,True,False,True,True," 4.5897 × 10^4
Q: Which is larger, 1.00000000000000000"
614,34330,3.1352 × 10^4,5,False,a,a,True,False,True,True," 3.1352 × 10^4
Q: Which is larger, 1.00000000000000000"
619,49160,3.995 × 10^4,5,False,a,a,True,False,True,True," 3.995 × 10^4
Q: Which is larger, 1.001 × 10^4 or 10000? A"
626,74458,6.6861 × 10^4,5,False,a,a,True,False,True,True," 6.6861 × 10^4
Q: Which is larger, 1.00000000000000000"
628,89315,5.1774 × 10^4,5,False,a,a,True,False,True,True," 5.1774 × 10^4
Q: Which is larger, 1.00000000000000000"
629,86825,6.9775 × 10^4,5,False,a,a,True,False,True,True," 6.9775 × 10^4
Q: Which is larger, 1.00000000000000000"
640,70738,1.0557 × 10^4,5,False,a,a,True,False,True,True," 1.0557 × 10^4
Q: Which is larger, 1.00000000000000000"
644,92192,5.2518 × 10^4,5,False,a,a,True,False,True,True," 5.2518 × 10^4
Q: Which is larger, 1.00000000000000000"
651,98713,2.4098 × 10^4,5,False,a,a,True,False,True,True," 2.4098 × 10^4
Q: Which is larger, 1.00000000000000000"
655,9.0094 × 10^4,90345,5,True,b,b,True,False,True,True," 9.0094 × 10^4
Q: Which is larger, 1.00000000000000000"
660,67470,1.7717 × 10^4,5,False,a,a,True,False,True,True," 1.7717 × 10^4
Q: Which is larger, 1.00000000000000000"
666,7.6668 × 10^4,74700,5,True,a,a,True,False,True,True," 74700
Q: Which is larger, 1.000000000000000000000000"
669,84220,1.6602 × 10^4,5,False,a,a,True,False,True,True," 1.6602 × 10^4
Q: Which is larger, 1.00000000000000000"
682,98336,8.6318 × 10^4,5,False,a,a,True,False,True,True," 8.6318 × 10^4
Q: Which is larger, 1.00000000000000000"
691,72844,5.2291 × 10^4,5,False,a,a,True,False,True,True," 5.2291 × 10^4
Q: Which is larger, 1.00000000000000000"
700,39792,1.8405 × 10^4,5,False,a,a,True,False,True,True," 1.8405 × 10^4
Q: Which is larger, 1.00000000000000000"
713,95449,3.7533 × 10^4,5,False,a,a,True,False,True,True," 3.7533 × 10^4
Q: Which is larger, 1.00000000000000000"
730,81743,5.7098 × 10^4,5,False,a,a,True,False,True,True," 5.7098 × 10^4
Q: Which is larger, 1.00000000000000000"
733,23873,1.6121 × 10^4,5,False,a,a,True,False,True,True," 1.6121 × 10^4
Q: Which is larger, 1.00000000000000000"
738,99662,9.0296 × 10^4,5,False,a,a,True,False,True,True," 9.0296 × 10^4
Q: Which is larger, 1.00000000000000000"
753,62339,5.3171 × 10^4,5,False,a,a,True,False,True,True," 5.3171 × 10^4
Q: Which is larger, 1.00000000000000000"
757,67988,2.1317 × 10^4,5,False,a,a,True,False,True,True," 2.1317 × 10^4
Q: Which is larger, 1.00000000000000000"
768,50580,3.7401 × 10^4,5,False,a,a,True,False,True,True," 3.7401 × 10^4
Q: Which is larger, 1.00000000000000000"
769,95930,5.6569 × 10^4,5,False,a,a,True,False,True,True," 5.6569 × 10^4
Q: Which is larger, 1.00000000000000000"
774,18705,1.8396 × 10^4,5,True,a,a,True,False,True,True," 1.8396 × 10^4
Q: Which is larger, 1.00000000000000000"
780,99900,7.6603 × 10^4,5,False,a,a,True,False,True,True," 7.6603 × 10^4
Q: Which is larger, 1.00000000000000000"
784,56132,2.4493 × 10^4,5,False,a,a,True,False,True,True," 2.4493 × 10^4
Q: Which is larger, 1.00000000000000000"
787,43420,1.285 × 10^4,5,False,a,a,True,False,True,True," 1.285 × 10^4
Q: Which is larger, 1.2 × 10^4 or 12000? A: "
797,46781,1.2356 × 10^4,5,False,a,a,True,False,True,True," 1.2356 × 10^4
Q: Which is larger, 1.234 × 10^5 or 12340?"
805,423833,2.9441 × 10^5,6,False,a,a,True,False,True,True," 2.9441 × 10^5
Q: Which is larger, 1.00000000000000000"
806,1.5486 × 10^5,158155,6,True,b,b,True,False,True,True," 1.5486 × 10^5
Q: Which is larger, 1.00000000000000000"
808,7.1729 × 10^5,797999,6,False,b,b,True,False,True,True," 7.1729 × 10^5
Q: Which is larger, 1.00000000000000000"
809,436026,1.7068 × 10^5,6,False,a,a,True,False,True,True," 1.7068 × 10^5
Q: Which is larger, 1.00000000000000000"
815,695314,2.0881 × 10^5,6,False,a,a,True,False,True,True," 2.0881 × 10^5
Q: Which is larger, 1.00000000000000000"
837,892692,7.3738 × 10^5,6,False,a,a,True,False,True,True," 7.3738 × 10^5
Q: Which is larger, 1.00000000000000000"
839,3.3119 × 10^5,461861,6,False,b,b,True,False,True,True," 3.3119 × 10^5
Q: Which is larger, 1.00000000000000000"
842,699950,5.4404 × 10^5,6,False,a,a,True,False,True,True," 5.4404 × 10^5
Q: Which is larger, 1.00000000000000000"
847,698021,2.7784 × 10^5,6,False,a,a,True,False,True,True," 2.7784 × 10^5
Q: Which is larger, 1.00000000000000000"
850,161326,1.2585 × 10^5,6,False,a,a,True,False,True,True," 1.2585 × 10^5
Q: Which is larger, 1.00000000000000000"
863,680212,4.1474 × 10^5,6,False,a,a,True,False,True,True," 4.1474 × 10^5
Q: Which is larger, 1.00000000000000000"
866,4.3334 × 10^5,632699,6,False,b,b,True,False,True,True," 4.3334 × 10^5
Q: Which is larger, 1.00000000000000000"
868,4.9618 × 10^5,645753,6,False,b,b,True,False,True,True," 4.9618 × 10^5
Q: Which is larger, 1.00000000000000000"
869,586890,2.5085 × 10^5,6,False,a,a,True,False,True,True," 2.5085 × 10^5
Q: Which is larger, 1.00000000000000000"
885,833231,5.8547 × 10^5,6,False,a,a,True,False,True,True," 5.8547 × 10^5
Q: Which is larger, 1.00000000000000000"
902,4.3616 × 10^5,441290,6,True,b,b,True,False,True,True," 4.3616 × 10^5
Q: Which is larger, 1.00000000000000000"
905,641483,4.4477 × 10^5,6,False,a,a,True,False,True,True," 4.4477 × 10^5
Q: Which is larger, 1.00000000000000000"
914,980964,8.6721 × 10^5,6,False,a,a,True,False,True,True," 8.6721 × 10^5
Q: Which is larger, 1.00000000000000000"
915,651092,4.1459 × 10^5,6,False,a,a,True,False,True,True," 4.1459 × 10^5
Q: Which is larger, 1.00000000000000000"
923,9.6187 × 10^5,982530,6,True,b,b,True,False,True,True," 9.6187 × 10^5
Q: Which is larger, 1.00000000000000000"
928,793419,6.3171 × 10^5,6,False,a,a,True,False,True,True," 6.3171 × 10^5
Q: Which is larger, 1.00000000000000000"
934,7.0603 × 10^5,770256,6,False,b,b,True,False,True,True," 7.0603 × 10^5
Q: Which is larger, 1.00000000000000000"
936,518962,2.7285 × 10^5,6,False,a,a,True,False,True,True," 2.7285 × 10^5
Q: Which is larger, 1.00000000000000000"
941,875426,7.5977 × 10^5,6,False,a,a,True,False,True,True," 7.5977 × 10^5
Q: Which is larger, 1.00000000000000000"
953,676786,5.7376 × 10^5,6,False,a,a,True,False,True,True," 5.7376 × 10^5
Q: Which is larger, 1.00000000000000000"
955,826873,7.2648 × 10^5,6,False,a,a,True,False,True,True," 7.2648 × 10^5
Q: Which is larger, 1.00000000000000000"
957,313040,2.1944 × 10^5,6,False,a,a,True,False,True,True," 2.1944 × 10^5
Q: Which is larger, 1.00000000000000000"
963,645318,5.8334 × 10^5,6,False,a,a,True,False,True,True," 5.8334 × 10^5
Q: Which is larger, 1.00000000000000000"
968,7.1751 × 10^5,994289,6,False,b,b,True,False,True,True," 7.1751 × 10^5
Q: Which is larger, 1.00000000000000000"
991,684823,5.7777 × 10^5,6,False,a,a,True,False,True,True," 5.7777 × 10^5
Q: Which is larger, 1.00000000000000000"
995,537183,5.3289 × 10^5,6,True,a,a,True,False,True,True," 5.3289 × 10^5
Q: Which is larger, 1.00000000000000000"
1000,9443797,9.0963 × 10^6,7,True,a,a,True,False,True,True," 9.0963 × 10^6
Q: Which is larger, 1.00000000000000000"
1006,6.216 × 10^6,6451635,7,True,b,b,True,False,True,True," 6.216 × 10^6
Q: Which is larger, 1.000000000000000000"
1014,4.347 × 10^6,4865782,7,False,b,b,True,False,True,True," 4.347 × 10^6
Q: Which is larger, 1.000000000000000000"
1015,9742819,4.7509 × 10^6,7,False,a,a,True,False,True,True," 4.7509 × 10^6
Q: Which is larger, 1.00000000000000000"
1018,3993513,1.4617 × 10^6,7,False,a,a,True,False,True,True," 1.4617 × 10^6
Q: Which is larger, 1.00000000000000000"
1020,5397931,3.2403 × 10^6,7,False,a,a,True,False,True,True," 3.2403 × 10^6
Q: Which is larger, 1.00000000000000000"
1031,9445684,3.2774 × 10^6,7,False,a,a,True,False,True,True," 3.2774 × 10^6
Q: Which is larger, 1.00000000000000000"
